seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,landmass-count,refusal
1409,default,7.4439315,2.8088274,0.063400225,7,0.36708294,0.69910915,32,
1410,default,5.8618685,3.9927694,0.036204287,11,0.31828919,0.71884511,30,
1411,default,7.1745723,3.5196534,0.048923392,8,0.34879772,0.52637404,36,
1412,default,5.0629051,3.9505671,0.02934427,8,0.26230627,0.75111668,16,
1413,default,6.3161008,3.343266,0.045847371,4,0.45207505,0.64607108,18,
1414,default,6.1487734,3.7105388,0.044529076,7,0.21649274,0.74235231,22,
1415,default,6.2515772,3.7597491,0.035911332,10,0.25725171,0.6294443,29,
1416,default,6.2785352,3.7820291,0.039304721,8,0.38535892,0.73143031,24,
1417,default,6.642336,3.4864562,0.050925248,7,0.33722149,0.63454421,18,
1418,default,6.4636274,3.4831024,0.038401445,9,0.40746874,0.70994824,24,
1419,default,6.8630888,3.3318319,0.038889703,9,0.17536408,0.67244438,37,
1420,default,6.0793145,3.3099548,0.03588692,8,0.32393715,0.82493013,22,
1421,default,7.1078899,3.4663503,0.039133831,8,0.40507007,0.61585181,24,
1422,default,7.1471968,2.9719386,0.050974074,6,0.51898385,0.73628119,29,
1423,default,6.9052833,3.4182024,0.038059665,7,0.2504436,0.75601276,37,
1424,default,7.9391448,2.9515181,0.065817099,7,0.35645851,0.8038501,40,
1425,default,6.6719482,3.1380954,0.05451394,6,0.37826427,0.72175087,28,
1426,default,6.1913675,3.6485899,0.040452126,8,0.28001039,0.71963039,27,
1427,default,6.7959137,3.3432946,0.040110346,9,0.30269501,0.72263849,38,
1428,default,6.8179106,3.2477728,0.043674625,8,0.23796569,0.6392155,33,
1429,default,6.9529257,3.1973466,0.053415361,9,0.27907891,0.60807953,35,
1430,default,6.7783681,3.4922808,0.052121478,8,0.23635048,0.66369117,24,
1431,default,6.4626588,3.4496516,0.041306577,7,0.32975184,0.58260827,33,
1432,default,6.0305804,3.7637701,0.034885992,9,0.25032234,0.62266841,23,
1433,default,6.1799048,3.5358688,0.040012695,9,0.21862201,0.69688283,28,
1434,default,7.6734881,3.1330427,0.047483033,12,0.16208218,0.70038306,57,
1435,default,6.2902994,3.4772888,0.03989063,8,0.28935532,0.6307898,30,
1436,default,6.4046039,3.3531453,0.038303794,10,0.20341524,0.72890118,33,
1437,default,7.3482411,3.2082244,0.048581612,8,0.21572187,0.72445519,39,
1438,default,7.4755849,3.3045807,0.048947805,7,0.29018238,0.30112337,41,
1439,default,7.1147671,2.9876288,0.063034032,5,0.33201349,0.60338153,37,
1440,default,7.1668463,3.1694622,0.055783409,8,0.75341153,0.6707551,45,
1441,default,6.1939108,3.4860836,0.043503735,7,0.29299712,0.77866347,22,
1442,default,7.2520592,3.1498167,0.056222841,5,0.30900116,0.66397583,31,
1443,default,6.1445636,3.7868021,0.039329134,7,0.30397609,0.72533196,19,
1444,default,6.5277674,3.0316942,0.049460476,6,0.47385742,0.6007963,23,
1445,default,7.5158338,3.2843956,0.049167521,12,0.26414805,0.71145208,41,
1446,default,7.1630694,3.1704057,0.047678336,9,0.21261825,0.72721322,47,
1447,default,6.5686368,3.2211409,0.054196572,5,0.6704343,0.68610454,31,
1448,default,6.8456654,2.9855848,0.050778771,12,0.25336738,0.78774094,33,
1449,default,7.8016397,3.2255523,0.050559055,10,0.28654893,0.75623985,60,
1450,default,6.7380828,3.6176511,0.038303794,9,0.22918306,0.75769198,26,
1451,default,8.8447603,2.5066111,0.071969142,12,0.23637348,0.68908419,80,
1452,default,6.5371306,3.1447216,0.043991993,9,0.21343721,0.65549889,32,
1453,default,8.2133012,2.9271218,0.058151457,8,0.56350253,0.68686616,55,
1454,default,7.659168,3.1608325,0.057077291,7,0.34264858,0.56761198,28,
1455,default,7.8156478,2.8110024,0.064938235,8,0.33181818,0.45719092,27,
1456,default,7.6304065,2.8454386,0.069576681,5,0.44700553,0.76098172,53,
1457,default,7.3402947,3.041638,0.038425858,13,0.20480072,0.7445383,44,
1458,default,7.6996526,2.860285,0.05944534,9,0.40439089,0.57941019,24,
1459,default,6.3560317,3.4653441,0.048874567,7,0.48905829,0.68032392,15,
1460,default,6.2130412,3.042825,0.051657634,5,0.50849533,0.63898534,15,
1461,default,7.3293858,3.0363845,0.060421854,6,0.4620472,0.73936376,42,
1462,default,6.9950208,3.1390374,0.049777843,8,0.3780565,0.6851599,25,
1463,default,6.7719098,3.3789126,0.043088716,6,0.493782,0.61856246,19,
1464,default,7.939907,3.0137849,0.062472536,7,0.37850229,0.47554573,27,
1465,default,7.8065671,2.7467703,0.052145891,11,0.46533983,0.81541157,48,
1466,default,6.7570194,3.0384263,0.057004053,5,0.5078108,0.7014489,21,
1467,default,7.8238756,2.8369355,0.059567404,8,0.30345912,0.78674544,22,
1468,default,6.4618343,3.1298886,0.047556272,4,0.56755933,0.76391882,22,
1469,default,7.1091119,3.6183806,0.042038963,13,0.16257299,0.66183918,32,
1470,default,8.6985993,3.0010711,0.06327816,11,0.18785112,0.73810999,49,
1471,default,6.3536498,3.4943119,0.048874567,11,0.23613897,0.62275876,20,
1472,default,6.7359662,3.1123395,0.046067087,7,0.37734236,0.72495561,33,
1473,default,6.3802151,3.3162347,0.057541136,8,0.56957644,0.77422977,24,
1474,default,6.2774439,3.6109883,0.045017333,8,0.24405857,0.67517978,23,
1475,default,6.9862506,2.9088982,0.062496948,7,0.50651518,0.63264164,27,
1476,default,6.4159551,3.0244986,0.05749231,6,0.31662964,0.64169501,24,
