seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,refusal
2479,default,11.670955876421942,1.8489259422543889,0.23363117035301012,66,0.8390595684803002,0.8458636459808277,
2480,default,11.068858830862204,1.511348389897785,0.5872027733020848,33,0.9180833033742489,0.7167781521084582,
2481,default,11.736043963324269,1.5245126730348209,0.5782188369708511,30,0.9370910343244174,0.7272425746991744,
2482,default,9.64689014068056,2.48319807576474,0.050803183438308676,88,0.6420325510976533,0.7463227331397833,
2483,default,9.597575862320783,1.937057883168694,0.14325472389043503,44,0.7479922459152589,0.8031863104110839,
2484,default,15.322773264218739,1.6011454335799915,0.24530052243542796,94,0.5287927260481563,0.7233584914387916,
2485,default,12.807157458115576,1.2368310196401522,0.6039744153117523,36,0.956913088387192,0.6246546863717077,
2486,default,8.710488318395011,2.351062037119747,0.05529515160392559,46,0.4615133458493184,0.5795289943524893,
2487,default,8.769084397968873,2.3491202643820035,0.07880474586201845,78,0.6326516269590273,0.8062480673144214,
2488,default,10.453615177831313,1.3314883582272306,0.6186465504614033,23,0.9237916219119227,0.7498747710163169,
2489,default,12.45179753684053,1.8622577282924035,0.1374444607196914,62,0.3712326582682188,0.8317449217291872,
2490,default,9.140394533008624,1.5190425842438722,0.6934231726966457,40,0.8998771498771498,0.8095307846296569,
2491,default,10.370478883765296,2.557161841165232,0.05160880816366388,83,0.35794777828676133,0.747470942871558,
2492,default,9.031613127940378,1.3224822183249478,0.6650798300864216,20,0.9285759513708605,0.7509329204070672,
2493,default,12.029328163430327,1.3661871720491183,0.6032420291977931,47,0.908852665234027,0.8238584270516307,
2494,default,12.546226767053152,1.4288028699717656,0.5696499194375275,53,0.8259212835297067,0.6320233674251889,
2495,default,9.947054518507574,1.4293328337153826,0.5989209511254333,29,0.9254287062772039,0.6487048972218152,
2496,default,11.186090670407586,1.6321707083988501,0.6402763536936673,56,0.8855860908581044,0.6401080333762486,
2497,default,12.389675999431558,2.037201646833077,0.08136809726087593,110,0.2839908418457203,0.8070954158547539,
2498,default,12.593095720622234,1.768253869056164,0.16066110053220056,82,0.3825482335254322,0.8338541412365934,
2499,default,9.148033192967603,1.7157261341477459,0.6099555685757532,37,0.9578947368421052,0.8448806210634248,
2500,default,10.556114831466461,1.2454391641372806,0.6233826473316733,39,0.774016563146998,0.7780237148432061,
2501,default,10.19480229490296,1.3171397170371655,0.6136174991455495,31,0.8360278344582222,0.7825582616852576,
2502,default,12.067770267475355,1.7469722517690371,0.157536253112641,82,0.6627720719871856,0.4990745302741788,
2503,default,14.292957145235034,1.1668972658481416,0.6957179825203847,65,0.6903968303880259,0.7240054117821237,
2504,default,9.155211179375701,2.2651410962386556,0.07475220936477711,81,0.3767800058122639,0.7213252057253814,
2505,default,9.37383087151982,2.162736706667834,0.11891509203652166,69,0.42304495172325596,0.8231761431685609,
2506,default,12.316818647773836,1.070391125150813,0.7098530345197989,32,0.8883166321446565,0.8235395872132361,
2507,default,11.10915894297471,1.505121427554161,0.5835896684732191,38,0.929412366912367,0.8020061954440159,
