seed,pin_set,granary-raid-phase-concentration,granary-raids-in-depleted-half,refusal
728,default,0.9143541,0.5984252,
729,default,0.91269453,0.038461538,
730,default,0.88147453,0.93736264,
731,default,0.90268417,0.87412587,
732,default,0.90899015,0.312,
733,default,0.93935337,0.22018349,
734,default,0.94934907,0.39036545,
735,default,0.90398075,0.85801217,
736,default,0.98228931,0.70921986,
737,default,0.93962534,0.40963855,
738,default,0.94200861,0.21714286,
739,default,0.86204264,0.58737864,
740,default,,,
741,default,0.98523518,0.25,
742,default,0.85033636,0.58682635,
743,default,0.87897797,0.56293706,
744,default,0.97279912,0.17821782,
745,default,0.93849417,0.49382716,
746,default,0.86718817,0.45,
747,default,0.97866489,0.12903226,
748,default,0.91574764,0.52173913,
749,default,0.99255381,0.58823529,
750,default,0.87821758,0.84005764,
751,default,0.98786674,0.7,
752,default,0.9291034,0.37470167,
753,default,0.90443595,0.78709677,
754,default,0.8972253,0.9106383,
755,default,0.93069188,0.58052434,
756,default,0.74820252,0.88738739,
757,default,0.9743735,0.68181818,
758,default,0.96222699,0.55284553,
759,default,0.85694124,0.78208556,
760,default,0.84815841,0.36073059,
761,default,0.95521827,0.74774775,
762,default,0.91051514,0.70522388,
763,default,0.90744832,0.35294118,
764,default,0.94589952,0.81609195,
765,default,0.94176868,0.2486631,
766,default,0.8209197,0.39004149,
767,default,0.88625749,0.71954023,
768,default,0.9067055,0.7025,
769,default,0.92465239,0.55489614,
770,default,0.85415982,0.44807692,
771,default,0.92523425,0.23802817,
772,default,0.9088468,0.86026201,
773,default,0.91021935,0.57864078,
774,default,0.89248965,0.92207792,
775,default,0.98886466,0.31818182,
776,default,0.90951591,0.74050633,
777,default,0.93269441,0.3081761,
778,default,0.67126405,0.85820896,
779,default,0.98790611,0.50393701,
780,default,0.91203233,0.87439614,
781,default,0.92701094,0.14553991,
782,default,0.936699,0.31910112,
783,default,0.90198601,0.58536585,
784,default,0.88525114,0.34228188,
785,default,0.79404899,0.86666667,
786,default,0.68374639,0.83333333,
787,default,0.98077571,0.51184834,
788,default,0.9022545,0.53246753,
789,default,0.9395482,0.53161593,
790,default,0.8949157,0.38053097,
791,default,0.92171996,0.2503864,
792,default,0.64887194,0.8125,
793,default,0.9934594,0.41025641,
794,default,0.72927826,0.61306533,
795,default,0.89694544,0.54074074,
796,default,0.968792,0.39053254,
797,default,0.86175259,0.80861244,
798,default,0.97862259,0.46976744,
799,default,0.94760882,0.67226891,
800,default,0.98971126,0.5,
801,default,1,0.94117647,
802,default,0.95559719,0.66666667,
803,default,0.89650739,0.36220472,
804,default,0.92459188,0.095424837,
805,default,0.90213337,0.15243902,
806,default,0.93820199,0.4453125,
807,default,0.91071856,0.33333333,
808,default,0.93641731,0.31550802,
809,default,0.86224223,0.60483871,
810,default,0.87549882,0.30882353,
811,default,0.96205532,0.23104693,
812,default,0.96733473,0.44444444,
813,default,0.93645498,0.16931217,
814,default,0.93832228,0.61290323,
815,default,0.87432287,0.89719626,
816,default,0.91595278,0.7442623,
817,default,1,0.625,
818,default,0.88343591,0.74285714,
819,default,1,0.75,
820,default,0.88328081,0.69333333,
